NOTICIA DE REFERENCIA: 
	https://elpais.com/politica/2019/10/20/actualidad/1571575152_143333.html

#########################################################

Algoritmo: SIMILITUD_COSENO_SPACY	 Atributos: titularNoticia

2019-02-12T09:32:17Z	https://elpais.com/ccaa/2019/02/11/catalunya/1549915314_056223.html
2019-02-12T08:31:45Z	https://elpais.com/politica/2019/02/11/actualidad/1549913698_215397.html
2019-02-11T17:12:50Z	https://elpais.com/politica/2019/02/09/actualidad/1549740306_750094.html
2019-02-11T12:52:30Z	https://elpais.com/elpais/2019/02/08/videos/1549643796_011112.html
2019-02-09T13:52:07Z	https://elpais.com/ccaa/2019/02/09/catalunya/1549700212_086537.html
2019-02-06T23:00:49Z	https://elpais.com/elpais/2019/02/06/opinion/1549478566_840598.html
2019-02-06T11:28:20Z	https://elpais.com/ccaa/2019/02/06/catalunya/1549438411_813054.html
2019-02-02T19:55:28Z	https://elpais.com/politica/2019/02/01/actualidad/1549051988_271602.html
2019-02-01T20:10:37Z	https://elpais.com/politica/2019/02/01/actualidad/1549016626_676859.html

#########################################################

Algoritmo: SIMILITUD_COSENO_SPACY	 Atributos: titularNoticia + tagsNoticia

2019-10-19T07:57:25Z	https://elpais.com/politica/2019/10/17/actualidad/1571332631_052320.html
2019-10-18T06:52:10Z	https://elpais.com/tecnologia/2019/10/18/actualidad/1571350153_875274.html
2019-10-17T20:50:09Z	https://elpais.com/politica/2019/10/17/actualidad/1571330455_082061.html
2019-10-16T17:44:30Z	https://elpais.com/politica/2019/10/15/actualidad/1571151830_085106.html
2019-10-16T09:01:40Z	https://elpais.com/politica/2019/10/15/actualidad/1571162190_293164.html
2019-10-13T22:00:29Z	https://elpais.com/elpais/2019/10/13/opinion/1570980529_717994.html
2019-10-13T17:47:38Z	https://elpais.com/politica/2019/10/13/actualidad/1570955000_786613.html
2019-10-13T13:36:57Z	https://elpais.com/politica/2019/10/13/actualidad/1570960689_497344.html
2019-10-13T10:23:03Z	https://elpais.com/politica/2019/10/12/actualidad/1570907070_505127.html
2019-10-12T20:16:05Z	https://elpais.com/politica/2019/10/11/actualidad/1570790835_269184.html
2019-10-10T06:32:42Z	https://elpais.com/politica/2019/10/09/actualidad/1570633375_966787.html
2019-10-09T19:38:55Z	https://elpais.com/politica/2019/10/09/actualidad/1570630078_734971.html
2019-10-09T11:53:27Z	https://elpais.com/politica/2019/10/09/actualidad/1570603126_973956.html
2019-10-09T07:50:29Z	https://elpais.com/politica/2019/10/08/actualidad/1570548323_680846.html
2019-10-09T06:20:32Z	https://elpais.com/ccaa/2019/10/08/catalunya/1570527214_182259.html
2019-10-09T06:17:14Z	https://elpais.com/politica/2019/10/07/actualidad/1570458030_601164.html
2019-10-08T19:48:09Z	https://elpais.com/politica/2019/10/07/actualidad/1570473486_830058.html
2019-10-08T14:30:18Z	https://elpais.com/politica/2019/10/08/actualidad/1570521873_087183.html
2019-10-08T13:42:11Z	https://elpais.com/politica/2019/10/07/actualidad/1570471647_928058.html
2019-10-08T09:34:59Z	https://elpais.com/politica/2019/10/07/actualidad/1570465657_993903.html
2019-10-08T06:38:48Z	https://elpais.com/politica/2019/10/07/actualidad/1570460381_701049.html
2019-10-07T14:14:02Z	https://elpais.com/politica/2019/10/07/actualidad/1570429352_303738.html
2019-10-07T12:05:38Z	https://elpais.com/politica/2019/10/06/actualidad/1570388277_919838.html
2019-10-07T08:12:26Z	https://elpais.com/politica/2019/10/06/actualidad/1570350152_538359.html
2019-10-07T06:59:04Z	https://elpais.com/politica/2019/10/06/actualidad/1570360893_372899.html
2019-10-06T12:51:45Z	https://elpais.com/politica/2019/10/05/actualidad/1570291117_117066.html
